epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6461538672447205,0.6423086524009705,0.8235294222831726,0.4770162105560303,0.0010000000474974513
2,0.800000011920929,0.44610247015953064,0.8235294222831726,0.36488258838653564,0.0010000000474974513
3,0.800000011920929,0.3607485592365265,0.8235294222831726,0.31563082337379456,0.0010000000474974513
4,0.800000011920929,0.3355408310890198,0.8235294222831726,0.2765469253063202,0.0010000000474974513
5,0.8153846263885498,0.2759251892566681,0.8235294222831726,0.23169362545013428,0.0010000000474974513
6,0.8769230842590332,0.22877638041973114,0.8823529481887817,0.18760143220424652,0.0010000000474974513
7,0.892307698726654,0.18916955590248108,1.0,0.14834757149219513,0.0010000000474974513
8,0.9692307710647583,0.13807156682014465,1.0,0.11291646212339401,0.0010000000474974513
9,1.0,0.09968879818916321,1.0,0.08504125475883484,0.0010000000474974513
10,1.0,0.07041808217763901,1.0,0.05358618125319481,0.0010000000474974513
11,1.0,0.05016377940773964,1.0,0.030476408079266548,0.0010000000474974513
12,1.0,0.034976109862327576,1.0,0.018657833337783813,0.0010000000474974513
13,1.0,0.028465034440159798,1.0,0.012161361053586006,0.0010000000474974513
14,1.0,0.017759017646312714,1.0,0.007922796532511711,0.0010000000474974513
15,1.0,0.01256902888417244,1.0,0.005093774292618036,0.0010000000474974513
16,1.0,0.004914477001875639,1.0,0.0032103974372148514,0.0010000000474974513
17,1.0,0.004062111489474773,1.0,0.0022072659339755774,0.0010000000474974513
18,1.0,0.007722379639744759,1.0,0.0015120411990210414,0.0010000000474974513
19,1.0,0.002432621782645583,1.0,0.0009369587060064077,0.0010000000474974513
20,1.0,0.0031167587731033564,1.0,0.0006666750414296985,0.0010000000474974513
21,1.0,0.0016847782535478473,1.0,0.0005180658772587776,0.0010000000474974513
22,1.0,0.0010614152997732162,1.0,0.00042349909199401736,0.0010000000474974513
23,1.0,0.0026599287521094084,1.0,0.00035041995579376817,0.0010000000474974513
24,1.0,0.0006369307520799339,1.0,0.0002943167928606272,0.0010000000474974513
25,1.0,0.0009426676551811397,1.0,0.0002568828349467367,0.0010000000474974513
26,1.0,0.0005001699319109321,1.0,0.00022871466353535652,0.0010000000474974513
27,1.0,0.0005682556075043976,1.0,0.00020970262994524091,0.0010000000474974513
